DR,Date_Rept,Monthstamp,Yearstamp,Block
1607426,5/12/2016,5,2016,100 Blk ESPLANADE
1607516,5/13/2016,5,2016,0 Blk VERMONT
1607548,5/14/2016,5,2016,0 Blk SACRED PATH
1607619,5/15/2016,5,2016,0 Blk JUNEBERRY
1611317,7/22/2016,7,2016,0 Blk SECLUSION
1611318,7/22/2016,7,2016,0 Blk SECLUSION
1611319,7/22/2016,7,2016,0 Blk SECLUSION
1614956,9/30/2016,9,2016,0 Blk PALATINE
1618572,12/7/2016,12,2016,0 Blk PALATINE
1618617,12/8/2016,12,2016,4200 Blk ARCHWAY
1706277,5/2/2017,5,2017,0 Blk PALATINE
1706278,5/2/2017,5,2017,0 Blk PALATINE
1706363,5/4/2017,5,2017,0 Blk SONATA
1706431,5/5/2017,5,2017,0 Blk ORCHARD
1715110,10/20/2017,10,2017,0 Blk BOISE
1715129,10/20/2017,10,2017,18800 Blk DOUGLAS
1718045,12/19/2017,12,2017,0 Blk SUNLIGHT
1718082,12/20/2017,12,2017,18000 Blk SKY PARK BLVD
1718078,12/20/2017,12,2017,0 Blk FANPALM
1718228,12/23/2017,12,2017,1100 Blk SCHOLARSHIP
1718162,12/22/2017,12,2017,200 Blk VENETO
1718198,12/22/2017,12,2017,3000 Blk LADRILLO AISLE
1718202,12/22/2017,12,2017,0 Blk SCARLET BLOOM
1802955,2/28/2018,2,2018,0 Blk ELIZABETH LN
1802958,2/28/2018,2,2018,0 Blk ELIZABETH LN
1806247,5/7/2018,5,2018,0 Blk CARTIER AISLE
1806344,5/9/2018,5,2018,3800 Blk PARKVIEW LN
1806373,5/10/2018,5,2018,0 Blk MEANDER
1806398,5/10/2018,5,2018,500 Blk OAKGLEN
1810124,7/24/2018,7,2018,0 Blk CANAL
1810122,7/24/2018,7,2018,0 Blk ARBORETUM
1812665,9/11/2018,9,2018,2500 Blk ALTON PKWY
1812729,9/12/2018,9,2018,100 Blk QUIET PLACE
1812746,9/12/2018,9,2018,2500 Blk ALTON PKWY
1815881,11/14/2018,11,2018,100 Blk CRESCENT MOON
1815927,11/15/2018,11,2018,300 Blk SANTA BARBARA
1901207,1/25/2019,1,2019,0 Blk PARK PLZ
1901247,1/26/2019,1,2019,100 Blk HEMISPHERE
1901248,1/26/2019,1,2019,100 Blk HEMISPHERE
1980171,3/31/2019,3,2019,0 Blk JUNEBERRY
1100325,1/7/2011,1,2011,100 Blk ROCKVIEW
1114735,10/17/2011,10,2011,0 Blk BOTANICAL
1202079,2/12/2012,2,2012,0 Blk ARBORETUM
1202131,2/13/2012,2,2012,200 Blk HAYES
1205565,4/26/2012,4,2012,0 Blk SHADE TREE
1205589,4/27/2012,4,2012,2700 Blk KELVIN AVE
1302130,2/20/2013,2,2013,0 Blk MARBLEHEAD
1302188,2/21/2013,2,2013,3700 Blk PARKVIEW LN
1305666,5/7/2013,5,2013,400 Blk SIMPLICITY
1402836,3/6/2014,3,2014,200 Blk TALL OAK
1406003,5/16/2014,5,2014,200 Blk GREAT LAWN
1409540,7/31/2014,7,2014,0 Blk LAKEFRONT
1409632,8/1/2014,8,2014,0 Blk MEADOW VALLEY
1409643,8/1/2014,8,2014,4600 Blk EL CAMINO REAL
1412871,10/11/2014,10,2014,0 Blk LILAC
1500237,1/6/2015,1,2015,0 Blk HONEY LOCUST
1504037,3/23/2015,3,2015,0 Blk KEEPSAKE
1504038,3/23/2015,3,2015,300 Blk MARINELLA AISLE
1504101,3/24/2015,3,2015,0 Blk SYCAMORE BEND
1511352,8/8/2015,8,2015,0 Blk SNOWBERRY
1511507,8/11/2015,8,2015,0 Blk ADELANTE
1515182,10/21/2015,10,2015,600 Blk TULAROSA
1515228,10/22/2015,10,2015,200 Blk LEMON GROVE
1515262,10/23/2015,10,2015,0 Blk LAFAYETTE
1518743,12/29/2015,12,2015,0 Blk WINTERGREEN
1518796,12/30/2015,12,2015,0 Blk ORANGE BLOSSOM
1518841,12/31/2015,12,2015,400 Blk SANTA BARBARA
1600044,1/2/2016,1,2016,100 Blk RODEO
1603042,2/23/2016,2,2016,200 Blk HOLBROOK
1603097,2/24/2016,2,2016,800 Blk SOLVAY AISLE
1606586,4/27/2016,4,2016,0 Blk NEW SEASON
1606698,4/29/2016,4,2016,100 Blk OVERBROOK
1610098,6/29/2016,6,2016,0 Blk HARRISON
1610166,7/1/2016,7,2016,0 Blk CASTLEBAR
1613970,9/12/2016,9,2016,0 Blk ROLLING GREEN
1613955,9/12/2016,9,2016,0 Blk MAPLETON
1613992,9/13/2016,9,2016,0 Blk VILLAGER
1617416,11/14/2016,11,2016,100 Blk DESERT BLOOM
1617494,11/15/2016,11,2016,0 Blk PALATINE
1617509,11/16/2016,11,2016,0 Blk MOMENTO
1617544,11/16/2016,11,2016,0 Blk ECCELSTONE CIR
1701503,1/31/2017,1,2017,100 Blk CARDINAL
1701531,2/1/2017,2,2017,0 Blk HEDGE BLOOM
1705119,4/12/2017,4,2017,0 Blk ELIZABETH LN
1705204,4/13/2017,4,2017,0 Blk ALMADOR
1705320,4/15/2017,4,2017,15200 Blk LILLE CIR
1708840,6/18/2017,6,2017,10200 Blk MIRASOL
1708885,6/19/2017,6,2017,0 Blk WINDING WAY
1708951,6/20/2017,6,2017,600 Blk ANACAPA
1712257,8/24/2017,8,2017,200 Blk OVERBROOK
1714525,10/9/2017,10,2017,200 Blk TANGELO
1714531,10/9/2017,10,2017,0 Blk GREENFIELD
1714623,10/11/2017,10,2017,600 Blk CANTOR
1718490,12/30/2017,12,2017,100 Blk GROVELAND
1800012,1/1/2018,1,2018,0 Blk WINTERHAVEN
1803703,3/14/2018,3,2018,0 Blk TESORO
1806901,5/21/2018,5,2018,200 Blk CALIFORNIA AVE
1809724,7/16/2018,7,2018,0 Blk CHERRY N
1812957,9/17/2018,9,2018,2500 Blk MAIN ST
1813016,9/18/2018,9,2018,0 Blk MAPLETON
1816502,11/27/2018,11,2018,0 Blk CANAL
1816621,11/30/2018,11,2018,3300 Blk MICHELSON DR
1901798,2/7/2019,2,2019,0 Blk DEER TRACK
1115303,10/27/2011,10,2011,0 Blk GREAT LAWN
1115305,10/27/2011,10,2011,100 Blk REVIVAL
1115306,10/27/2011,10,2011,100 Blk REVIVAL
1115307,10/27/2011,10,2011,100 Blk REVIVAL
1115395,10/29/2011,10,2011,100 Blk CHANTILLY
1115407,10/29/2011,10,2011,0 Blk NATURE
1115408,10/29/2011,10,2011,100 Blk GROVELAND
1300168,1/4/2013,1,2013,100 Blk TOWNGATE
1303823,3/27/2013,3,2013,0 Blk WALNUT CRK
1307285,6/9/2013,6,2013,600 Blk MARINELLA AISLE
1307336,6/10/2013,6,2013,700 Blk MONTE VISTA
1307419,6/11/2013,6,2013,100 Blk TALMADGE
1307420,6/11/2013,6,2013,0 Blk CORIANDER
1314364,11/6/2013,11,2013,0 Blk JUNEBERRY
1401217,1/30/2014,1,2014,0 Blk HALLMARK
1415903,12/18/2014,12,2014,800 Blk MARINELLA AISLE
1415909,12/18/2014,12,2014,900 Blk WYCLIFFE
1415947,12/19/2014,12,2014,1400 Blk REGGIO AISLE
1416085,12/22/2014,12,2014,0 Blk SECRET GARDEN
1502838,2/26/2015,2,2015,0 Blk NATURE
1502872,2/27/2015,2,2015,13300 Blk PINTADO
1502877,2/27/2015,2,2015,0 Blk CANOPY
1513999,9/30/2015,9,2015,0 Blk CASTLEBAR
1517377,12/1/2015,12,2015,19500 Blk SIERRA SOTO RD
1517378,12/1/2015,12,2015,19500 Blk SIERRA SOTO RD
1602074,2/6/2016,2,2016,0 Blk WINDCHIME
1605671,4/11/2016,4,2016,4100 Blk BLACKFIN AVE
1605817,4/13/2016,4,2016,0 Blk BRISTLECONE
1609051,6/10/2016,6,2016,100 Blk HEDGE BLOOM
1612606,8/16/2016,8,2016,0 Blk WINDING WAY
1616323,10/24/2016,10,2016,0 Blk MONTAGE
1703790,3/17/2017,3,2017,0 Blk SORENSON
1703857,3/19/2017,3,2017,0 Blk LEXINGTON
1707446,5/24/2017,5,2017,0 Blk MORNING SUN
1707463,5/24/2017,5,2017,0 Blk PERGOLA
1707464,5/24/2017,5,2017,1400 Blk REGGIO AISLE
1707531,5/26/2017,5,2017,0 Blk GLORIETA W
1707549,5/26/2017,5,2017,100 Blk RHAPSODY
1707553,5/26/2017,5,2017,100 Blk RODEO
1715208,10/22/2017,10,2017,2800 Blk KELVIN AVE
1715250,10/23/2017,10,2017,4300 Blk MARGARITA ST
1800225,1/4/2018,1,2018,300 Blk DEWDROP
1803461,3/9/2018,3,2018,100 Blk BRIGHT POPPY
1803583,3/12/2018,3,2018,4200 Blk CAMPUS DR
1807001,5/23/2018,5,2018,12400 Blk SPECTRUM
1807061,5/24/2018,5,2018,0 Blk DELPHINUS
1807073,5/24/2018,5,2018,0 Blk SOUTHBROOK
1810913,8/7/2018,8,2018,100 Blk BRIGHT POPPY
1810991,8/9/2018,8,2018,5400 Blk ALTON PKWY
1813688,10/1/2018,10,2018,4400 Blk WYNGATE CIR
1813808,10/4/2018,10,2018,100 Blk WHISTLE FLOWER
1816102,11/19/2018,11,2018,100 Blk DURANZO AISLE
1816110,11/19/2018,11,2018,0 Blk HOLLOWGLEN
1816204,11/21/2018,11,2018,100 Blk WORKING RANCH
1901294,1/27/2019,1,2019,0 Blk CHERRY TREE
1901351,1/29/2019,1,2019,100 Blk PARKWOOD
1901373,1/29/2019,1,2019,17800 Blk VON KARMAN AVE
1901411,1/30/2019,1,2019,0 Blk CLOISTER
1901461,1/31/2019,1,2019,0 Blk WHEELER
1904574,4/4/2019,4,2019,0 Blk SHEPARD
1980178,4/2/2019,4,2019,0 Blk THORNAPPLE
1111985,8/23/2011,8,2011,0 Blk STONEBROOK
1112000,8/23/2011,8,2011,0 Blk PRESTON
1115406,10/29/2011,10,2011,0 Blk VINTAGE
1115610,11/2/2011,11,2011,100 Blk PATHWAY
1115613,11/2/2011,11,2011,0 Blk CANTERA
1115622,11/10/2011,11,2011,0 Blk ARBORETUM
1115648,11/3/2011,11,2011,100 Blk COSTA BRAVA
1115660,11/3/2011,11,2011,0 Blk BELLCHIME
1115667,11/3/2011,11,2011,0 Blk VINTAGE
1115676,11/3/2011,11,2011,0 Blk CONSTANTINE
1204197,3/28/2012,3,2012,0 Blk HERRINGBONE
1204231,3/29/2012,3,2012,100 Blk WINDCHIME
1311916,9/12/2013,9,2013,0 Blk NEW DAWN
1402696,3/3/2014,3,2014,100 Blk REVIVAL
1500667,1/16/2015,1,2015,0 Blk TRINITY
1500696,1/16/2015,1,2015,400 Blk HAYES
1500707,1/16/2015,1,2015,4100 Blk WILLIWAW DR
1504524,4/2/2015,4,2015,0 Blk SOMERTON
1504574,4/3/2015,4,2015,0 Blk LA RONDA
1603463,3/1/2016,3,2016,0 Blk STREAMWOOD
1603503,3/2/2016,3,2016,4600 Blk GREEN TREE LN
1603594,3/3/2016,3,2016,100 Blk QUIET PLACE
1606736,4/30/2016,4,2016,100 Blk MONTE VISTA
1606849,5/2/2016,5,2016,300 Blk ANACAPA
1606923,5/3/2016,5,2016,0 Blk ALONDRA
1606930,5/3/2016,5,2016,0 Blk WRANGLER
1610450,7/6/2016,7,2016,0 Blk PALATINE
1617706,11/20/2016,11,2016,0 Blk GREAT LAWN
1617709,11/20/2016,11,2016,0 Blk ICEBERG ROSE
1701429,1/30/2017,1,2017,100 Blk CATALONIA
1704886,4/7/2017,4,2017,100 Blk CONFEDERATION WAY
1705007,4/10/2017,4,2017,0 Blk PAWPRINT
1708580,6/13/2017,6,2017,0 Blk NIGHT BLOOM
1708732,6/16/2017,6,2017,300 Blk STREAMWOOD
1708736,6/16/2017,6,2017,1200 Blk STANFORD
1712079,8/21/2017,8,2017,200 Blk OVERBROOK
1712189,8/23/2017,8,2017,200 Blk OVERBROOK
1807275,5/28/2018,5,2018,300 Blk DURANZO AISLE
1807285,5/28/2018,5,2018,3300 Blk MICHELSON DR
1810398,7/29/2018,7,2018,0 Blk NAVIGATOR
1810507,7/31/2018,7,2018,1200 Blk DANA
1810512,7/31/2018,7,2018,16100 Blk MIRASOL
1810511,7/31/2018,7,2018,100 Blk OVERBROOK
1810538,7/31/2018,7,2018,3300 Blk MICHELSON DR
1813875,10/5/2018,10,2018,0 Blk PALATINE
1817352,12/15/2018,12,2018,0 Blk PARKDALE
1817447,12/17/2018,12,2018,100 Blk MENKAR
1902589,2/24/2019,2,2019,0 Blk PLANTATION
1902594,2/24/2019,2,2019,0 Blk GRANDVIEW
1980231,4/16/2019,4,2019,0 Blk CARSON
1980243,4/18/2019,4,2019,0 Blk MAGELLAN AISLE
1117839,12/19/2011,12,2011,0 Blk HOLLOWGLEN
1117851,12/19/2011,12,2011,0 Blk ASBURY
1117853,12/19/2011,12,2011,0 Blk MISSION
1117857,12/19/2011,12,2011,6200 Blk ESPERANZA
1117885,12/20/2011,12,2011,0 Blk LACEBARK
1206571,5/16/2012,5,2012,0 Blk JUNEBERRY
1206610,5/17/2012,5,2012,3900 Blk PARKVIEW LN
1217006,12/12/2012,12,2012,0 Blk MORRIS RD
1217106,12/14/2012,12,2012,0 Blk SUNRISE
1302840,3/6/2013,3,2013,0 Blk RAINBOW LAKE
1309936,7/31/2013,7,2013,0 Blk MONTGOMERY
1501733,2/5/2015,2,2015,600 Blk PICCOLO
1501806,2/7/2015,2,2015,0 Blk SAN GARIN
1505303,4/18/2015,4,2015,100 Blk COMPASS
1508953,6/22/2015,6,2015,0 Blk GREAT LAWN
1509036,6/24/2015,6,2015,0 Blk CLARET
1512717,9/4/2015,9,2015,700 Blk CANTOR
1512718,9/4/2015,9,2015,700 Blk CANTOR
1512817,9/6/2015,9,2015,0 Blk CORIANDER
1516290,11/11/2015,11,2015,5200 Blk IRVINE BLVD
1516309,11/11/2015,11,2015,1900 Blk PENDIO
1516343,11/12/2015,11,2015,0 Blk CUZZANO AISLE
1603871,3/9/2016,3,2016,100 Blk TOWNGATE
1604000,3/11/2016,3,2016,100 Blk STREAMWOOD
1604002,3/11/2016,3,2016,0 Blk CHERRY TREE
1604003,3/11/2016,3,2016,100 Blk STREAMWOOD
1610603,7/9/2016,7,2016,0 Blk PALATINE
1614410,9/20/2016,9,2016,15300 Blk TELMO
1614520,9/22/2016,9,2016,4300 Blk EL CAMINO REAL
1618017,11/27/2016,11,2016,1100 Blk QUAIL RDG
1701779,2/6/2017,2,2017,0 Blk GREENHOUSE
1705417,4/17/2017,4,2017,0 Blk PLANTATION
1708991,6/21/2017,6,2017,0 Blk STRAW FLOWER
1709004,6/21/2017,6,2017,600 Blk SILK TREE
1709023,6/22/2017,6,2017,0 Blk PRESIDIO
1709132,6/24/2017,6,2017,100 Blk LACEFLOWER
1717952,12/17/2017,12,2017,0 Blk WILD TRAILS
1718013,12/18/2017,12,2017,0 Blk GRAMERCY
1718027,12/19/2017,12,2017,100 Blk RODEO
1802269,2/15/2018,2,2018,2800 Blk MAIN ST
1805845,4/28/2018,4,2018,0 Blk LAST BLOOM
1805857,4/28/2018,4,2018,0 Blk PALATINE
1809366,7/8/2018,7,2018,0 Blk RINALDI
1809437,7/9/2018,7,2018,400 Blk LAS PALMAS
1812572,9/9/2018,9,2018,1900 Blk PIEDMONT
1816350,11/25/2018,11,2018,0 Blk WONDERLAND
1816411,11/26/2018,11,2018,0 Blk CHERRY TREE
1816412,11/26/2018,11,2018,0 Blk CHERRY TREE
1901899,2/9/2019,2,2019,6200 Blk SIERRA BRAVO RD
1902001,2/11/2019,2,2019,0 Blk PEACH BLOSSOM
1902013,2/11/2019,2,2019,0 Blk GHIBERTI
1902031,2/12/2019,2,2019,0 Blk MILLBRAE
1902047,2/12/2019,2,2019,2100 Blk SULLIVAN
1980204,4/9/2019,4,2019,4300 Blk SPECTRUM
1980205,4/9/2019,4,2019,100 Blk GITANO
1110095,7/17/2011,7,2011,0 Blk EASTMONT
1117513,12/12/2011,12,2011,0 Blk CALYPSO
1117611,12/14/2011,12,2011,700 Blk MONTE VISTA
1206171,4/30/2012,5,2012,700 Blk SILK TREE
1209823,7/20/2012,7,2012,0 Blk TOWNSEND
1213762,10/6/2012,10,2012,0 Blk IRIS
1302551,2/28/2013,2,2013,3600 Blk HAMILTON ST
1316526,12/30/2013,12,2013,600 Blk MONTE VISTA
1316563,12/31/2013,12,2013,600 Blk MONTE VISTA
1400086,1/3/2014,1,2014,0 Blk GREENHOUSE
1403196,3/13/2014,3,2014,0 Blk CONCIERTO
1406670,5/29/2014,5,2014,0 Blk RAINBOW LAKE
1410240,8/15/2014,8,2014,11300 Blk SPECTRUM
1413746,10/30/2014,10,2014,0 Blk PINTAIL
1413749,10/30/2014,10,2014,500 Blk MARKETVIEW
1500884,1/20/2015,1,2015,100 Blk DOVERWOOD
1501016,1/22/2015,1,2015,200 Blk PENDIO
1501042,1/23/2015,1,2015,0 Blk DEERGRASS
1501063,1/23/2015,1,2015,500 Blk MARINELLA AISLE
1504625,4/4/2015,4,2015,2500 Blk LADRILLO AISLE
1504811,4/8/2015,4,2015,1100 Blk REGGIO AISLE
1508302,6/10/2015,6,2015,5000 Blk BORDEAUX AVE
1515924,11/4/2015,11,2015,2500 Blk LADRILLO AISLE
1515958,11/5/2015,11,2015,0 Blk BLESSING
1516038,11/6/2015,11,2015,0 Blk SALVIATI AISLE
1600542,1/11/2016,1,2016,#VALUE!
1600548,1/11/2016,1,2016,700 Blk GRAND CANAL
1600555,1/11/2016,1,2016,200 Blk FALCON CRK
1600545,1/11/2016,1,2016,700 Blk MAPLEWOOD
1600589,1/12/2016,1,2016,0 Blk MIDDLEBURY LN
1600594,1/12/2016,1,2016,0 Blk WILD TRAILS
1600602,1/12/2016,1,2016,1700 Blk ELK GROVE
1600614,1/11/2016,1,2016,1300 Blk ELK GROVE
1600606,1/12/2016,1,2016,1400 Blk ELMHURST
1600692,1/14/2016,1,2016,3500 Blk CLAREMONT ST
1604323,3/18/2016,3,2016,0 Blk HERMOSA
1604431,3/20/2016,3,2016,500 Blk ROCKEFELLER
1607865,5/20/2016,5,2016,0 Blk SANCTUARY
1607894,5/20/2016,5,2016,100 Blk MONTE VISTA
1611421,7/25/2016,7,2016,2900 Blk GRAND CANAL
