DR,Date,Month,Year,Block,Type,Week_Num,Number,Street,Address,Lat,Lon,Type_Num
1517232,2015-11-29,11,2015,3600 Blk BATES ST                                                                        ,Vehicle,48,3600,BATES ST,"3600 BATES ST, Irvine, CA",33.6741573,-117.8261213,0
1517226,2015-11-29,11,2015,0 Blk COSENZA                                                                         ,Vehicle,48,0,COSENZA,"0 COSENZA, Irvine, CA",33.6764125,-117.82565120000001,0
1517289,2015-11-30,11,2015,17500 Blk LUTHER AVE                                                                      ,Vehicle,49,17500,LUTHER AVE,"17500 LUTHER AVE, Irvine, CA",33.6724968,-117.8221875,0
1517302,2015-11-30,11,2015,800 Blk SPECTRUM CENTER DR                                                              ,Vehicle,49,800,SPECTRUM CENTER DR,"800 SPECTRUM CENTER DR, Irvine, CA",33.6484984,-117.7427271,0
1517335,2015-12-01,12,2015,100 Blk WILLOWBEND                                                                      ,Vehicle,49,100,WILLOWBEND,"100 WILLOWBEND, Irvine, CA",33.6611784,-117.80666550000001,0
1517334,2015-12-01,12,2015,2300 Blk TIMBERWOOD,Package,49,2300,TIMBERWOOD,"2300 TIMBERWOOD, Irvine, CA",33.728439,-117.75302099999999,1
1517336,2015-12-01,12,2015,100 Blk WILLOWBEND                                                                      ,Vehicle,49,100,WILLOWBEND,"100 WILLOWBEND, Irvine, CA",33.6611784,-117.80666550000001,0
1517367,2015-12-01,12,2015,0 Blk FIRWOOD                                                                         ,Vehicle,49,0,FIRWOOD,"0 FIRWOOD, Irvine, CA",33.6777734,-117.7913481,0
1517377,2015-12-01,12,2015,19500 Blk SIERRA SOTO RD,Package,49,19500,SIERRA SOTO RD,"19500 SIERRA SOTO RD, Irvine, CA",33.6345674,-117.8205562,1
1517378,2015-12-01,12,2015,19500 Blk SIERRA SOTO RD,Package,49,19500,SIERRA SOTO RD,"19500 SIERRA SOTO RD, Irvine, CA",33.6345674,-117.8205562,1
1517393,2015-12-02,12,2015,0 Blk BAYBERRY WAY                                                                    ,Garage,49,0,BAYBERRY WAY,"0 BAYBERRY WAY, Irvine, CA",33.6612345,-117.8265941,2
1517421,2015-12-02,12,2015,4200 Blk SANDBURG WAY                                                                    ,Garage,49,4200,SANDBURG WAY,"4200 SANDBURG WAY, Irvine, CA",33.6616669,-117.8262393,2
